Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Amazon_AddingProductToCart_OR/Page_Amazon.in Shopping Cart/span_Sign Out""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:32:42,21-03-2025 10:32:46,4.184s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,21-03-2025 10:32:46,21-03-2025 10:32:54,8.291s,PASSED
,,,,,,,
Test Cases/TC_Amazon_RemovingProductFromCart_020,Edge Chromium 134.0.3124.72,,,21-03-2025 10:44:21,21-03-2025 10:49:54,5m - 32.434s,FAILED
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,21-03-2025 10:44:21,21-03-2025 10:44:28,7.102s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,21-03-2025 10:44:28,21-03-2025 10:45:28,59.727s,PASSED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon.in Shopping Cart/span_Sign in""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:45:28,21-03-2025 10:45:46,17.818s,FAILED
"setText(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), ""8765257308"")",Edge Chromium 134.0.3124.72,,,21-03-2025 10:45:46,21-03-2025 10:46:18,31.836s,FAILED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon Sign In/input_Wrong or Invalid email address or mob_77ed40""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:46:18,21-03-2025 10:47:18,59.887s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon Sign In/input_Forgot password_password""), ""FJEEn2Q6rEqImg+RR4ytGA=="")",Edge Chromium 134.0.3124.72,,,21-03-2025 10:47:18,21-03-2025 10:47:50,32.815s,FAILED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:47:50,21-03-2025 10:48:27,36.471s,PASSED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon.in Shopping Cart/a_1                                        _7d74ab""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:48:27,21-03-2025 10:48:37,10.544s,PASSED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon.in Shopping Cart/span_This is a gift_a-icon a-icon-small-trash""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:48:37,21-03-2025 10:49:15,37.405s,FAILED
"click(findTestObject(""Object Repository/Amazon_RemovingProductFromCart_OR/Page_Amazon.in Shopping Cart/span_Sign Out""))",Edge Chromium 134.0.3124.72,,,21-03-2025 10:49:15,21-03-2025 10:49:48,32.872s,FAILED
closeBrowser(),Edge Chromium 134.0.3124.72,,,21-03-2025 10:49:48,21-03-2025 10:49:54,5.746s,PASSED
